psnr,ssim,subject
40.018044438417235,0.9862224320808985,Center001_UIH_30T_umr780_P001_T1map
42.47409729745659,0.9888343433585871,Center001_UIH_30T_umr780_P001_T1mappost
38.7872335234186,0.9875716747118756,Center001_UIH_30T_umr780_P001_T2map
41.33857194776183,0.991948671708294,Center001_UIH_30T_umr780_P001_cine_lax_3ch
36.058732355829136,0.966534982887274,Center001_UIH_30T_umr780_P001_lge_lax_2ch
36.42852616794217,0.9654151094512384,Center001_UIH_30T_umr780_P001_lge_lax_4ch
,,Center001_UIH_30T_umr780_P002_T1map
,,Center001_UIH_30T_umr780_P002_T1rho
47.281739379207124,0.9979693086428948,Center001_UIH_30T_umr780_P002_T2map
42.41892369542318,0.9963516859204992,Center001_UIH_30T_umr780_P002_cine_sax
43.50556452894229,0.9891826573426634,Center001_UIH_30T_umr780_P003_T1map
40.346077010260444,0.9895565904018944,Center001_UIH_30T_umr780_P003_T1rho
37.130113458695774,0.9886265017826075,Center001_UIH_30T_umr780_P003_T2map
47.690223797114115,0.995093137607653,Center001_UIH_30T_umr780_P003_T2w
46.256169319087064,0.99683444652114,Center001_UIH_30T_umr780_P003_cine_lax_3ch
40.085148199775496,0.9904741058104483,Center001_UIH_30T_umr780_P003_cine_lax_4ch
49.76876531612484,0.9984459215059776,Center001_UIH_30T_umr780_P003_cine_sax
43.61986223610076,0.9937104419756801,Center001_UIH_30T_umr780_P004_T1map
44.75084052851822,0.9930419860971171,Center001_UIH_30T_umr780_P004_T1rho
41.560141039980586,0.993358673808821,Center001_UIH_30T_umr780_P004_cine_lax_3ch
41.59950465349807,0.9904321200244427,Center001_UIH_30T_umr780_P004_cine_lax_4ch
,,Center001_UIH_30T_umr780_P005_T1rho
44.215490462879224,0.9964839177564561,Center001_UIH_30T_umr780_P005_cine_lax_4ch
41.01926893668675,0.9924938796255153,Center001_UIH_30T_umr780_P005_cine_sax
45.979185621210064,0.9924630123966829,Center001_UIH_30T_umr780_P006_T1map
44.22000399554425,0.9908698435523622,Center001_UIH_30T_umr780_P006_T1mappost
40.428515314963775,0.984136847855934,Center001_UIH_30T_umr780_P006_T1rho
40.936846508736664,0.9880964991144552,Center001_UIH_30T_umr780_P006_T2map
40.58534187319635,0.9859569694116038,Center001_UIH_30T_umr780_P006_cine_lax_4ch
50.16571585033355,0.9973231966688867,Center001_UIH_30T_umr780_P006_cine_sax
35.63918403079482,0.9641434853539512,Center001_UIH_30T_umr780_P006_lge_lax_2ch
38.60686869968423,0.9744403440695667,Center001_UIH_30T_umr780_P006_lge_lax_4ch
42.07341302282285,0.9898134085713813,Center001_UIH_30T_umr780_P006_perfusion
40.09576871776196,0.9878434519559255,Center001_UIH_30T_umr780_P008_T1map
52.61047139267713,0.9976667515668645,Center001_UIH_30T_umr780_P008_T1rho
50.38656642896086,0.995862459206811,Center001_UIH_30T_umr780_P008_T2w
43.68022954812292,0.9946992107286386,Center001_UIH_30T_umr780_P008_cine_lax_3ch
39.583238710585384,0.9902337377201659,Center001_UIH_30T_umr780_P008_cine_sax
40.18797392430003,0.9914445557148386,Center001_UIH_30T_umr780_P009_T1map
38.72620443490841,0.9855818384630687,Center001_UIH_30T_umr780_P009_T1mappost
43.48543835108928,0.996742994815469,Center001_UIH_30T_umr780_P009_T1rho
